"","pclass","survived"
"1",1,1
"2",1,1
"3",1,0
"4",1,0
"5",1,0
"6",1,1
"7",1,1
"8",1,0
"9",1,1
"10",1,0
"11",1,0
"12",1,1
"13",1,1
"14",1,1
"15",1,1
"16",1,0
"17",1,0
"18",1,1
"19",1,1
"20",1,0
"21",1,1
"22",1,1
"23",1,1
"24",1,1
"25",1,1
"26",1,0
"27",1,1
"28",1,1
"29",1,1
"30",1,1
"31",1,0
"32",1,1
"33",1,1
"34",1,1
"35",1,0
"36",1,1
"37",1,1
"38",1,1
"39",1,0
"40",1,0
"41",1,0
"42",1,1
"43",1,1
"44",1,1
"45",1,1
"46",1,0
"47",1,0
"48",1,1
"49",1,1
"50",1,1
"51",1,1
"52",1,0
"53",1,0
"54",1,0
"55",1,1
"56",1,1
"57",1,1
"58",1,1
"59",1,0
"60",1,1
"61",1,0
"62",1,1
"63",1,0
"64",1,1
"65",1,1
"66",1,1
"67",1,1
"68",1,1
"69",1,1
"70",1,1
"71",1,0
"72",1,0
"73",1,1
"74",1,1
"75",1,0
"76",1,0
"77",1,1
"78",1,0
"79",1,1
"80",1,1
"81",1,0
"82",1,0
"83",1,1
"84",1,1
"85",1,0
"86",1,1
"87",1,1
"88",1,1
"89",1,1
"90",1,0
"91",1,1
"92",1,1
"93",1,1
"94",1,1
"95",1,1
"96",1,1
"97",1,0
"98",1,1
"99",1,1
"100",1,1
"101",1,1
"102",1,0
"103",1,1
"104",1,1
"105",1,1
"106",1,0
"107",1,0
"108",1,1
"109",1,1
"110",1,1
"111",1,0
"112",1,1
"113",1,1
"114",1,1
"115",1,0
"116",1,0
"117",1,1
"118",1,1
"119",1,0
"120",1,1
"121",1,1
"122",1,1
"123",1,1
"124",1,1
"125",1,1
"126",1,0
"127",1,0
"128",1,1
"129",1,0
"130",1,1
"131",1,1
"132",1,1
"133",1,0
"134",1,1
"135",1,1
"136",1,0
"137",1,1
"138",1,1
"139",1,0
"140",1,1
"141",1,1
"142",1,1
"143",1,0
"144",1,1
"145",1,1
"146",1,1
"147",1,1
"148",1,0
"149",1,0
"150",1,1
"151",1,0
"152",1,1
"153",1,1
"154",1,1
"155",1,0
"156",1,1
"157",1,0
"158",1,0
"159",1,0
"160",1,1
"161",1,1
"162",1,1
"163",1,0
"164",1,1
"165",1,1
"166",1,1
"167",1,0
"168",1,1
"169",1,1
"170",1,0
"171",1,1
"172",1,0
"173",1,0
"174",1,0
"175",1,0
"176",1,0
"177",1,1
"178",1,1
"179",1,1
"180",1,0
"181",1,1
"182",1,1
"183",1,1
"184",1,1
"185",1,0
"186",1,0
"187",1,1
"188",1,1
"189",1,1
"190",1,0
"191",1,1
"192",1,0
"193",1,1
"194",1,1
"195",1,0
"196",1,1
"197",1,1
"198",1,0
"199",1,1
"200",1,1
"201",1,0
"202",1,0
"203",1,1
"204",1,0
"205",1,1
"206",1,0
"207",1,0
"208",1,1
"209",1,1
"210",1,1
"211",1,0
"212",1,0
"213",1,0
"214",1,1
"215",1,1
"216",1,0
"217",1,1
"218",1,0
"219",1,1
"220",1,1
"221",1,1
"222",1,0
"223",1,0
"224",1,0
"225",1,0
"226",1,0
"227",1,0
"228",1,1
"229",1,0
"230",1,1
"231",1,1
"232",1,1
"233",1,0
"234",1,1
"235",1,0
"236",1,1
"237",1,0
"238",1,0
"239",1,1
"240",1,0
"241",1,1
"242",1,0
"243",1,1
"244",1,0
"245",1,0
"246",1,1
"247",1,0
"248",1,1
"249",1,0
"250",1,1
"251",1,1
"252",1,1
"253",1,0
"254",1,1
"255",1,1
"256",1,1
"257",1,1
"258",1,1
"259",1,1
"260",1,1
"261",1,1
"262",1,1
"263",1,0
"264",1,1
"265",1,1
"266",1,1
"267",1,0
"268",1,0
"269",1,0
"270",1,0
"271",1,1
"272",1,1
"273",1,1
"274",1,1
"275",1,1
"276",1,1
"277",1,0
"278",1,1
"279",1,1
"280",1,0
"281",1,1
"282",1,1
"283",1,1
"284",1,0
"285",1,1
"286",1,0
"287",1,0
"288",1,0
"289",1,1
"290",1,1
"291",1,0
"292",1,1
"293",1,1
